phase120_row_id,composition,yield_strength_mpa,dominant_non_fe_element,alloy_family_key,composition_hash16,element_count,non_fe_fraction,transition_fraction,light_fraction,refractory_fraction,entropy_fraction,frac_Fe,frac_C,frac_Mn,frac_Si,frac_Cr,frac_Ni,frac_Mo,frac_V,frac_N,frac_Nb,frac_Co,frac_W,frac_Al,frac_Ti
MBSTEEL-0014,Fe0.656C0.00758Mn0.000104Si0.000203Cr0.156Ni0.0000970Mo0.0424V0.00458N0.00122Nb0.0000613Co0.131Al0.000844,1460.700000000,Cr,Co+Cr+Mo,664a4e0c2eaa5061,12,0.344058576,0.947696371,0.009846121,0.047037100,1.046673335,0.655941424,0.007579323,0.000103991,0.000202982,0.155986070,0.000096991,0.042396214,0.004579591,0.001219891,0.000061295,0.130988303,0.000000000,0.000843925,0.000000000
MBSTEEL-0015,Fe0.656C0.00930Mn0.000102Si0.000199Cr0.152Ni0.00875Mo0.0116V0.000110Nb0.000481Co0.161Al0.000621,1243.400000000,Co,Co+Cr,7c90480322862d33,11,0.344106911,0.977802618,0.010118351,0.012189013,1.005517742,0.655893089,0.009298484,0.000101983,0.000198968,0.151975228,0.008748574,0.011598110,0.000109982,0.000000000,0.000480922,0.160973761,0.000000000,0.000620899,0.000000000
MBSTEEL-0016,Fe0.657C0.000954Mn0.000522Si0.00102Cr0.000110Ni0.166Mo0.0243V0.00776Nb0.0000617Co0.120Al0.00340Ti0.0189,2381.600000000,Ni,Co+Mo+Ni,f6bdb50795d795d3,12,0.343018198,0.951365647,0.005373851,0.051020287,1.070086362,0.656981802,0.000953974,0.000521986,0.001019972,0.000109997,0.165995402,0.024299327,0.007759785,0.000000000,0.000061698,0.119996676,0.000000000,0.003399906,0.018899476
MBSTEEL-0017,Fe0.659C0.00747Mn0.000102Si0.0134Cr0.156Ni0.0000955Mo0.0297V0.00451N0.000800Nb0.0000603Co0.128Al0.000831,1412.500000000,Cr,Co+Cr+Mo,dbb1394c461b0f19,12,0.340979439,0.947737069,0.022501702,0.034271369,1.064968138,0.659020561,0.007470233,0.000102003,0.013400418,0.156004867,0.000095503,0.029700927,0.004510141,0.000800025,0.000060302,0.128003994,0.000000000,0.000831026,0.000000000
MBSTEEL-0018,Fe0.660C0.000484Mn0.000106Si0.000207Cr0.000112Ni0.148Mo0.0364V0.000114Nb0.0000625Co0.146Al0.000646Ti0.00752,1603.300000000,Ni,Co+Mo+Ni,f1c9c10d73c14040,12,0.339769910,0.954664701,0.001337466,0.044111873,1.009127962,0.660230090,0.000484169,0.000106037,0.000207072,0.000112039,0.148051596,0.036412690,0.000114040,0.000000000,0.000062522,0.146050899,0.000000000,0.000646225,0.007522622
MBSTEEL-0019,Fe0.661C0.000454Mn0.0000993Si0.0375Cr0.164Ni0.0381Mo0.000114V0.000107Nb0.0000587Co0.0972Al0.000606Ti0.000684,1185.100000000,Cr,Co+Cr+Ni+Si,f587a37422e94660,12,0.338949099,0.960580265,0.038562969,0.000963774,1.060815911,0.661050901,0.000454035,0.000099308,0.037502888,0.164012629,0.038102934,0.000114009,0.000107008,0.000000000,0.000058705,0.097207485,0.000000000,0.000606047,0.000684053
MBSTEEL-0020,Fe0.661C0.000475Mn0.000520Si0.00102Cr0.000110Ni0.170Mo0.0247V0.000112Nb0.0000615Co0.111Al0.0131Ti0.0177,2510.300000000,Ni,Co+Mo+Ni,bfdaed4d38ba3c40,12,0.338866782,0.942932001,0.014597941,0.042582080,1.055721341,0.661133218,0.000475096,0.000520105,0.001020206,0.000110022,0.170034262,0.024704978,0.000112023,0.000000000,0.000061512,0.111022371,0.000000000,0.013102640,0.017703567
MBSTEEL-0021,Fe0.662C0.000477Mn0.000521Si0.00102Cr0.000110Ni0.168Mo0.0236V0.000112Nb0.0000616Co0.119Al0.00488Ti0.0213,2372.400000000,Ni,Co+Mo+Ni+Ti,1af255c647671eb8,12,0.338715246,0.948716868,0.006370110,0.045024901,1.039617879,0.661284754,0.000476485,0.000520437,0.001018898,0.000109881,0.167818488,0.023574502,0.000111879,0.000000000,0.000061533,0.118871429,0.000000000,0.004874727,0.021276987
MBSTEEL-0022,Fe0.663C0.00329Mn0.000103Si0.000201Cr0.169Ni0.0000963Mo0.0294V0.00455N0.00121Nb0.0000608Co0.129Al0.000629,1312.600000000,Cr,Co+Cr+Mo,26e752389b58bb40,12,0.337357893,0.965227980,0.005327123,0.033992441,1.001055344,0.662642107,0.003288224,0.000102944,0.000200891,0.168908772,0.000096248,0.029384130,0.004547544,0.001209347,0.000060767,0.128930365,0.000000000,0.000628660,0.000000000
MBSTEEL-0023,Fe0.664C0.00751Mn0.00575Si0.000201Cr0.157Ni0.0000961Mo0.0301V0.00454N0.00121Nb0.0000607Co0.128Al0.00105,1350.400000000,Cr,Co+Cr+Mo,392c7c6d2d0a28be,12,0.335679665,0.959848939,0.009975810,0.034717441,1.040585295,0.664320335,0.007513623,0.005752774,0.000201097,0.157075742,0.000096146,0.030114521,0.004542190,0.001210584,0.000060729,0.128061751,0.000000000,0.001050507,0.000000000
MBSTEEL-0024,Fe0.664C0.00754Mn0.000103Si0.000604Cr0.152Ni0.0105Mo0.0292V0.000111Nb0.00164Co0.134Al0.000629,1169.400000000,Cr,Co+Cr+Mo,da8f3cb5e27c14d7,11,0.336217057,0.960399949,0.008770132,0.030940882,1.037017670,0.663782943,0.007537535,0.000102966,0.000603803,0.151950312,0.010496568,0.029190455,0.000110964,0.000000000,0.001639464,0.133956196,0.000000000,0.000628794,0.000000000
MBSTEEL-0025,Fe0.664C0.00926Mn0.000101Si0.0101Cr0.134Ni0.00900Mo0.0114V0.000109Nb0.000479Co0.161Al0.000618,1322.100000000,Co,Co+Cr,18988e7edc32d801,11,0.336044485,0.968145134,0.019976662,0.011987197,1.028578500,0.663955515,0.009259380,0.000100993,0.010099323,0.133991023,0.008999397,0.011399236,0.000108993,0.000000000,0.000478968,0.160989214,0.000000000,0.000617959,0.000000000
MBSTEEL-0026,Fe0.665C0.000468Mn0.000102Si0.000200Cr0.121Ni0.0768Mo0.0293V0.000110Nb0.0000606Co0.0823Al0.0254Ti0.000118,1870.600000000,Cr,Al+Co+Cr+Mo,b01362e06b0e2c1e,12,0.335570479,0.944501051,0.026045637,0.029563217,1.134992644,0.664429521,0.000467599,0.000101912,0.000199828,0.120896199,0.076734116,0.029274865,0.000109906,0.000000000,0.000060548,0.082229398,0.000000000,0.025378210,0.000117899
MBSTEEL-0027,Fe0.666C0.000482Mn0.000105Si0.000206Cr0.000111Ni0.149Mo0.0308V0.000114Nb0.0000623Co0.150Al0.000644Ti0.00242,1580.000000000,Co,Co+Mo+Ni,9a667ea9799f979d,12,0.333962902,0.965383772,0.001332074,0.033398160,0.974482474,0.666037098,0.000482027,0.000105006,0.000206011,0.000111006,0.149008300,0.030801716,0.000114006,0.000000000,0.000062303,0.150008355,0.000000000,0.000644036,0.002420135
MBSTEEL-0028,Fe0.666C0.00702Mn0.000102Si0.000200Cr0.157Ni0.0000958Mo0.0296V0.00508N0.00602Nb0.0000605Co0.129Al0.00104,1164.400000000,Cr,Co+Cr+Mo,868d9b764dcda15b,12,0.334810400,0.956112968,0.014262624,0.034698227,1.033412624,0.665189600,0.007011458,0.000101876,0.000199757,0.156808960,0.000095683,0.029563982,0.005073819,0.006012675,0.000060426,0.128843031,0.000000000,0.001038735,0.000000000
MBSTEEL-0029,Fe0.666C0.00751Mn0.000103Si0.000201Cr0.155Ni0.0000960Mo0.0299V0.00963N0.00161Nb0.0000607Co0.129Al0.00104,1550.300000000,Cr,Co+Cr+Mo,b4876f612746111d,12,0.334100351,0.959684376,0.010359439,0.039584735,1.031881275,0.665899649,0.007508868,0.000102984,0.000200970,0.154976645,0.000095986,0.029895495,0.009628549,0.001609757,0.000060691,0.128980563,0.000000000,0.001039843,0.000000000
MBSTEEL-0030,Fe0.667C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.171Mo0.0233V0.000113Nb0.0000617Co0.115Al0.00361Ti0.0184,2381.600000000,Ni,Co+Mo+Ni,f057a9ba63e1081b,12,0.333409087,0.953160046,0.005103868,0.041849017,1.019483062,0.666590913,0.000476707,0.000521680,0.001019374,0.000109933,0.170895122,0.023285710,0.000112931,0.000000000,0.000061662,0.114929468,0.000000000,0.003607786,0.018388715
MBSTEEL-0031,Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00453N0.000804Nb0.0000606Co0.129Al0.00104,1405.600000000,Cr,Co+Cr+Mo,1876b89729085fff,12,0.333115038,0.958562548,0.011881950,0.034084720,1.016679483,0.666884962,0.009838303,0.000101982,0.000199966,0.157972750,0.000095883,0.029494912,0.004529219,0.000803861,0.000060590,0.128977751,0.000000000,0.001039821,0.000000000
MBSTEEL-0032,Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00508N0.000804Nb0.0000606Co0.128Al0.00104,1529.600000000,Cr,Co+Cr+Mo,e6ded766064924cf,12,0.332814856,0.958543896,0.011887299,0.034650215,1.018021810,0.667185144,0.009842731,0.000102028,0.000200056,0.158043857,0.000095927,0.029508189,0.005081410,0.000804223,0.000060617,0.128035530,0.000000000,0.001040289,0.000000000
MBSTEEL-0033,Fe0.668C0.000469Mn0.000102Si0.000200Cr0.119Ni0.0764Mo0.0293V0.000110Nb0.0000606Co0.0817Al0.0252Ti0.000118,1825.800000000,Cr,Al+Co+Cr+Mo,4012724ce2fd6b63,12,0.332440322,0.944688883,0.025851948,0.029569096,1.128942933,0.667559678,0.000468691,0.000101933,0.000199868,0.118921559,0.076349640,0.029280686,0.000109927,0.000000000,0.000060560,0.081646146,0.000000000,0.025183389,0.000117922
MBSTEEL-0034,Fe0.668C0.00972Mn0.00435Si0.00990Cr0.134Ni0.0112Mo0.0119V0.000109Nb0.0000598Co0.150Al0.000618,1352.200000000,Co,Co+Cr,1f6c3960a9576cfc,11,0.331904329,0.967797589,0.020240898,0.012070528,1.046984468,0.668095671,0.009721392,0.004350623,0.009901418,0.134019192,0.011201604,0.011901704,0.000109016,0.000000000,0.000059809,0.150021483,0.000000000,0.000618089,0.000000000
MBSTEEL-0035,Fe0.668Mn0.000102Si0.000200Cr0.119Ni0.0767Mo0.0292V0.000111Nb0.0000606Co0.0813Al0.0248Ti0.000235,1837.900000000,Cr,Al+Co+Cr+Mo,a7bf2ea082266e1a,11,0.331805288,0.945488515,0.025007287,0.029615230,1.124913169,0.668194712,0.000000000,0.000102030,0.000200058,0.119034687,0.076722357,0.029208511,0.000111032,0.000000000,0.000060618,0.081323698,0.000000000,0.024807229,0.000235068
MBSTEEL-0036,Fe0.669C0.00331Mn0.00590Si0.00648Cr0.129Ni0.0000969Mo0.0375V0.000112N0.00203Nb0.0000612Co0.147Al0.000632,1133.400000000,Co,Co+Cr+Mo,559626dc7578633d,12,0.331749844,0.950042857,0.012438043,0.037630974,1.039622530,0.668250156,0.003306290,0.005893387,0.006472737,0.128855411,0.000096791,0.037457968,0.000111874,0.002027725,0.000061131,0.146835236,0.000000000,0.000631292,0.000000000
MBSTEEL-0037,Fe0.669C0.00929Mn0.000102Si0.000596Cr0.151Ni0.0000950Mo0.0115V0.000110Nb0.000480Co0.157Al0.000620,1358.200000000,Co,Co+Cr,ff45c0f2b95affb4,11,0.330861488,0.977509344,0.010508175,0.012092503,0.955369332,0.669138512,0.009291923,0.000102021,0.000596123,0.151031263,0.000095020,0.011502381,0.000110023,0.000000000,0.000480099,0.157032506,0.000000000,0.000620128,0.000000000
MBSTEEL-0038,Fe0.669C0.00957Mn0.0000996Si0.0388Cr0.132Ni0.00876Mo0.0113V0.000107Nb0.000471Co0.129Al0.000608,1354.200000000,Cr,Co+Cr+Si,60a6e4fd4fa8eacd,11,0.330809682,0.939233718,0.048991933,0.011881379,1.073149372,0.669190318,0.009572722,0.000099628,0.038811038,0.132037551,0.008762492,0.011303215,0.000107030,0.000000000,0.000471134,0.129036698,0.000000000,0.000608173,0.000000000
MBSTEEL-0039,Fe0.670C0.00439Mn0.00704Si0.00563Cr0.138Ni0.0000999Mo0.000122V0.000115N0.00126Nb0.0000631Co0.147W0.0255Al0.000652,1081.100000000,Co,Co+Cr+W,4347467a9473cf93,13,0.329914229,0.962378084,0.011933527,0.025803403,1.021791607,0.670085771,0.004390562,0.007040901,0.005630721,0.138017666,0.000099913,0.000122016,0.000115015,0.001260161,0.000063108,0.147018818,0.025503264,0.000652083,0.000000000
MBSTEEL-0040,Fe0.670C0.00564Mn0.000103Si0.000201Cr0.158Ni0.0000963Mo0.0300V0.00477N0.00121Nb0.0000608Co0.129Al0.000628,1515.800000000,Cr,Co+Cr+Mo,63c5ddf58bc48f15,12,0.329805040,0.962249218,0.007681234,0.034840935,1.000833096,0.670194960,0.005641641,0.000103030,0.000201058,0.158045976,0.000096328,0.030008730,0.004771388,0.001210352,0.000060818,0.129037537,0.000000000,0.000628183,0.000000000
MBSTEEL-0041,Fe0.670C0.00798Mn0.000103Si0.000201Cr0.155Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.131Al0.000627,1502.000000000,Cr,Co+Cr+Mo,202e61b79911fb34,12,0.330480581,0.960049976,0.010010814,0.034475953,1.008425266,0.669519419,0.007974276,0.000102926,0.000200856,0.154888821,0.000096031,0.029878553,0.004536744,0.001209132,0.000060656,0.130906036,0.000000000,0.000626550,0.000000000
MBSTEEL-0042,Fe0.671C0.000470Mn0.000514Si0.00100Cr0.000109Ni0.141Mo0.00882V0.000111Nb0.0000607Co0.147Al0.0159Ti0.0137,2157.300000000,Co,Co+Ni,f8b44e80f38b00c9,12,0.328788367,0.960036700,0.017375478,0.022698857,1.009135844,0.671211633,0.000470148,0.000514162,0.001000315,0.000109034,0.141044471,0.008822782,0.000111035,0.000000000,0.000060719,0.147046364,0.000000000,0.015905015,0.013704321
MBSTEEL-0043,Fe0.671C0.00189Mn0.00569Si0.00547Cr0.134Ni0.0000969Mo0.0347V0.000112N0.00122Nb0.0000612Co0.145Al0.000632,1287.400000000,Co,Co+Cr+Mo,2631e7ce9aeac8dd,12,0.328914168,0.956021175,0.009213178,0.034877661,1.018779600,0.671085832,0.001890242,0.005690728,0.005470700,0.134017141,0.000096912,0.034704439,0.000112014,0.001220156,0.000061208,0.145018548,0.000000000,0.000632081,0.000000000
MBSTEEL-0044,Fe0.671C0.00376Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.00510N0.00282Nb0.0000608Co0.130Al0.000628,1311.400000000,Cr,Co+Cr+Mo,76ebae5e7b3054b6,12,0.329113380,0.963136430,0.007407748,0.034554960,1.000558922,0.670886620,0.003759365,0.000102983,0.000200966,0.156973471,0.000096184,0.029395032,0.005099138,0.002819524,0.000060790,0.129978034,0.000000000,0.000627894,0.000000000
MBSTEEL-0045,Fe0.671C0.00925Mn0.00516Si0.0103Cr0.135Ni0.00965Mo0.0115V0.000109Nb0.0000598Co0.147Al0.000618,1245.400000000,Co,Co+Cr,a3bb69c510d782dd,11,0.328762919,0.968260990,0.020175126,0.011672923,1.039818045,0.671237081,0.009253268,0.005161823,0.010303639,0.135047699,0.009653410,0.011504063,0.000109039,0.000000000,0.000059821,0.147051939,0.000000000,0.000618218,0.000000000
MBSTEEL-0046,Fe0.672C0.00473Mn0.00527Si0.00647Cr0.131Ni0.0000968Mo0.0373V0.000111N0.00162Nb0.0000611Co0.141Al0.000631,1155.000000000,Co,Co+Cr+Mo,518130a8208f4521,12,0.328194756,0.949202626,0.013447102,0.037461240,1.035399815,0.671805244,0.004728629,0.005268473,0.006468125,0.130962034,0.000096772,0.037289190,0.000110968,0.001619530,0.000061082,0.140959136,0.000000000,0.000630817,0.000000000
MBSTEEL-0047,Fe0.672C0.00564Mn0.000103Si0.000201Cr0.156Ni0.0000962Mo0.0294V0.00454N0.00121Nb0.0000608Co0.129Al0.00105,1322.900000000,Cr,Co+Cr+Mo,7ef6ee6c5b955581,12,0.327529943,0.962411926,0.008106667,0.034024583,0.997982393,0.672470057,0.005643945,0.000103072,0.000201141,0.156109120,0.000096267,0.029420565,0.004543176,0.001210846,0.000060843,0.129090234,0.000000000,0.001050734,0.000000000
MBSTEEL-0048,Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.144Mo0.0149V0.000112Nb0.0000614Co0.145Al0.000635Ti0.0215,1571.200000000,Co,Co+Ni+Ti,b992822910b577f0,12,0.327067562,0.962229392,0.001312868,0.036569728,0.984413242,0.672932438,0.000474952,0.000103990,0.000202980,0.000109989,0.143985544,0.014898504,0.000111989,0.000000000,0.000061394,0.144985443,0.000000000,0.000634936,0.021497842
MBSTEEL-0049,Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0286V0.00482Nb0.0000614Co0.0842Al0.0201Ti0.00858,1288.400000000,Ni,Al+Co+Mo+Ni,ec100054a5873912,12,0.327170495,0.941995298,0.020772736,0.042050744,1.038166219,0.672829505,0.000474880,0.000103974,0.000202949,0.000109972,0.179954400,0.028592755,0.004818779,0.000000000,0.000061384,0.084178669,0.000000000,0.020094908,0.008577826
MBSTEEL-0050,Fe0.673C0.000908Mn0.0000992Si0.0361Cr0.167Ni0.0372Mo0.000114V0.000107Nb0.0000587Co0.0851Al0.000404Ti0.000569,1143.700000000,Cr,Co+Cr+Ni+Si,0cd33cc786209d25,12,0.327443820,0.961871461,0.037387328,0.000848140,1.034676908,0.672556180,0.000907401,0.000099135,0.036076193,0.166889869,0.037175468,0.000113925,0.000106929,0.000000000,0.000058661,0.085043880,0.000000000,0.000403734,0.000568625
MBSTEEL-0051,Fe0.674C0.00752Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0303V0.000111N0.00121Nb0.0000607Co0.129Al0.00146,1460.700000000,Cr,Co+Cr+Mo,0085f546bd007dea,12,0.326041651,0.959250818,0.010390358,0.030469817,0.985455397,0.673958349,0.007519535,0.000102994,0.000200988,0.155990360,0.000096094,0.030298128,0.000110993,0.001209925,0.000060696,0.128992028,0.000000000,0.001459910,0.000000000
MBSTEEL-0052,Fe0.674C0.00925Mn0.00516Si0.0101Cr0.135Ni0.00975Mo0.0115V0.000109Nb0.0000598Co0.145Al0.000618,1300.300000000,Co,Co+Cr,556a8edf40470a77,11,0.326368342,0.968489430,0.019957087,0.011662423,1.035772944,0.673631658,0.009244945,0.005157180,0.010094480,0.134926222,0.009744672,0.011493715,0.000108940,0.000000000,0.000059767,0.144920757,0.000000000,0.000617662,0.000000000
MBSTEEL-0053,Fe0.674C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0829Mo0.00874V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000234,1309.100000000,Co,Co+Cr+Ni,600cfa3079cb016b,12,0.325883513,0.978941161,0.012023078,0.012106292,1.073937273,0.674116487,0.011201936,0.000102018,0.000199034,0.095716540,0.082914328,0.008741511,0.003070531,0.000000000,0.000060210,0.123021258,0.000000000,0.000622108,0.000234040
MBSTEEL-0054,Fe0.675C0.00705Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.000111Nb0.0000608Co0.129Al0.00105,1338.000000000,Cr,Co+Cr+Mo,87cc09cce00379e9,11,0.324373018,0.962203124,0.008308710,0.029599268,0.971115837,0.675626982,0.007056548,0.000103096,0.000201187,0.157145831,0.000096289,0.029427309,0.000111103,0.000000000,0.000060856,0.129119823,0.000000000,0.001050975,0.000000000
MBSTEEL-0055,Fe0.676C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0279V0.000112Nb0.0000614Co0.0852Al0.0216Ti0.00846,1309.100000000,Ni,Al+Co+Mo+Ni,825b056bd1271d78,12,0.324152336,0.941313828,0.022272980,0.036525167,1.015184118,0.675847664,0.000474893,0.000103977,0.000202954,0.000109975,0.179959437,0.027893713,0.000111975,0.000000000,0.000061386,0.085180800,0.000000000,0.021595132,0.008458094
MBSTEEL-0056,Fe0.677C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.146Mo0.0188V0.000113Nb0.0000617Co0.149Al0.000638Ti0.00839,1669.300000000,Co,Co+Ni,0e593043826d55d3,12,0.323607874,0.971453954,0.001318815,0.027340129,0.957202030,0.676392126,0.000477571,0.000103907,0.000203817,0.000109901,0.145868908,0.018783120,0.000112899,0.000000000,0.000061645,0.148866214,0.000000000,0.000637427,0.008382467
MBSTEEL-0057,Fe0.677C0.00916Mn0.000100Si0.0294Cr0.134Ni0.00881Mo0.0113V0.000108Nb0.000474Co0.129Al0.000611,1382.200000000,Cr,Co+Cr+Si,3e27062a0ca3e50f,11,0.322974950,0.949053115,0.039172449,0.011882440,1.046678065,0.677025050,0.009160339,0.000100004,0.029401088,0.134004958,0.008810326,0.011300418,0.000108004,0.000000000,0.000474018,0.129004773,0.000000000,0.000611023,0.000000000
