x,y,t,source_layer_index,target_layer_index,target_camera_code,source_p_mean,source_p_nonzero_fraction,source_p_range,source_x_range,source_y_range,source_rows_read,gcode_strategy_id,gcode_layer_line_count,gcode_layer_motion_length,gcode_layer_laser_on_fraction,gcode_layer_l_mean,gcode_layer_l_range,gcode_layer_f_mean,gcode_layer_turn_score_mean,gcode_strategy_line_count,gcode_strategy_motion_length_mean,gcode_strategy_laser_on_fraction_mean,gcode_mode_island,gcode_mode_laser_power,gcode_mode_laser_path,gcode_hatch_space,gcode_laser_density,target_intensity_std,target_center_periphery_contrast,target_grid_mean_range,target_quadrant_contrast,split_name,row_id,source_member_name,target_member_name,gcode_member_name,gcode_strategy_name
-2.151467,-3.149865,14.000000,14,14,0,143.833481,0.805944,234.927251,91.010000,50.810997,3209660.000000,10,1087.000000,2372.589619,0.985281,189.545538,234.000000,794.664213,1.270372,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.957146,27.667140,62.138761,22.424384,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0014,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0014.csv,In-situ Meas Data/Layer Camera/A0014.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.022306,-2.210467,15.000000,15,15,0,146.521318,0.813509,235.079607,91.010997,50.810000,3531008.000000,12,945.000000,1812.641985,0.983069,188.377778,234.000000,793.650794,1.212361,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.947871,27.618839,61.878392,22.521216,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0015,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0015.csv,In-situ Meas Data/Layer Camera/A0015.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.110904,-2.109956,16.000000,16,16,0,141.524270,0.787465,234.860005,91.010000,50.810000,2993269.000000,10,852.000000,1695.439231,0.981221,190.100939,234.000000,793.192488,1.276747,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.985204,27.691176,62.209421,22.650688,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0016,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0016.csv,In-situ Meas Data/Layer Camera/A0016.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-1.152383,-0.827753,17.000000,17,17,0,141.477264,0.795314,234.937204,91.010000,50.810000,3053346.000000,12,1100.000000,2220.859235,0.985455,189.275455,234.000000,794.545455,1.202241,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.923780,27.700689,62.059652,22.346304,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0017,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0017.csv,In-situ Meas Data/Layer Camera/A0017.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.002843,-3.187421,18.000000,18,18,0,143.328731,0.810026,234.911150,91.010000,50.810000,3280613.000000,10,1076.000000,2354.328498,0.985130,189.815985,234.000000,794.609665,1.269228,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.905703,27.779312,62.354327,22.617920,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0018,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0018.csv,In-situ Meas Data/Layer Camera/A0018.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.059763,-2.113796,19.000000,19,19,0,146.325978,0.813861,234.870248,91.010997,50.810000,3511957.000000,12,887.000000,1786.180331,0.981962,187.875986,234.000000,793.461105,1.276647,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.877775,27.714517,62.283410,22.632768,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0019,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0019.csv,In-situ Meas Data/Layer Camera/A0019.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.185806,-1.824914,20.000000,20,20,0,141.260841,0.787883,234.926647,91.010000,50.810000,2979100.000000,10,872.000000,1739.499146,0.981651,189.855505,234.000000,793.348624,1.273780,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.843409,27.744041,62.318484,22.465344,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0020,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0020.csv,In-situ Meas Data/Layer Camera/A0020.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.732495,-1.007835,21.000000,21,21,0,143.002888,0.796312,234.911297,91.010000,50.810000,3037312.000000,12,1078.000000,2294.178955,0.985158,189.319109,234.000000,794.619666,1.262511,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.855587,27.992873,62.238351,22.374592,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0021,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0021.csv,In-situ Meas Data/Layer Camera/A0021.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-1.987130,-3.440800,22.000000,22,22,0,143.515479,0.807174,235.013885,91.010000,50.811000,3317759.000000,10,1068.000000,2297.385610,0.985019,189.485019,234.000000,794.569288,1.270886,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.816335,27.758746,61.788786,22.348224,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0022,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0022.csv,In-situ Meas Data/Layer Camera/A0022.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
0.088920,-2.063300,23.000000,23,23,0,146.605257,0.812021,234.873835,91.009997,50.810000,3468238.000000,12,871.000000,1740.516322,0.981630,188.013777,234.000000,793.340987,1.274835,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.820737,27.846212,62.054275,22.581760,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0023,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0023.csv,In-situ Meas Data/Layer Camera/A0023.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.146240,-1.646944,24.000000,24,24,0,140.530359,0.787370,266.152309,91.010000,50.810000,2959661.000000,2,542.000000,1198.618905,0.535055,100.304428,195.000000,789.298893,1.542723,145493.000000,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,25.858219,27.775089,62.344086,22.848640,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0024,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0024.csv,In-situ Meas Data/Layer Camera/A0024.bmp,Build Command Data/AM Gcode/2_cube_Island/2_cube_Island.gcode,2_cube_Island
-0.844969,-1.110167,25.000000,25,25,0,142.439497,0.800091,234.886219,91.010000,50.810000,3090958.000000,12,1092.000000,2381.312487,0.985348,189.963370,234.000000,794.688645,1.266823,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.855339,27.819830,62.239887,22.681024,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0025,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0025.csv,In-situ Meas Data/Layer Camera/A0025.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.107901,-3.628218,26.000000,26,26,0,143.162496,0.811995,234.899937,91.010000,50.810000,3398615.000000,10,1059.000000,2279.663916,0.984891,189.695940,234.000000,794.523135,1.264457,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.748725,27.698985,61.937788,22.451392,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0026,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0026.csv,In-situ Meas Data/Layer Camera/A0026.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.014843,-1.971289,27.000000,27,27,0,145.787106,0.812318,234.954665,91.010000,50.810998,3463620.000000,12,857.000000,1696.642991,0.981330,187.626604,234.000000,793.232205,1.277995,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.704534,27.670936,61.785202,22.805248,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0027,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0027.csv,In-situ Meas Data/Layer Camera/A0027.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.180132,-1.515748,28.000000,28,28,0,140.260776,0.784289,234.870391,91.010000,50.810000,2939846.000000,2,538.000000,1197.812101,0.535316,100.325279,195.000000,789.219331,1.552999,145493.000000,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,25.774037,27.808786,62.334869,22.665856,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0028,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0028.csv,In-situ Meas Data/Layer Camera/A0028.bmp,Build Command Data/AM Gcode/2_cube_Island/2_cube_Island.gcode,2_cube_Island
-0.611335,-1.245454,29.000000,29,29,0,143.837653,0.803207,234.897695,91.010000,50.810000,3086693.000000,12,1104.000000,2401.342442,0.985507,189.594203,234.000000,794.746377,1.261041,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.808875,28.017916,62.597798,22.826240,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0029,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0029.csv,In-situ Meas Data/Layer Camera/A0029.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.190415,-3.526528,30.000000,30,30,0,144.349046,0.807793,264.333171,91.010000,50.810000,3362404.000000,10,1040.000000,2201.287062,0.984615,189.036538,234.000000,794.423077,1.271677,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.743747,27.801664,62.380696,22.785024,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0030,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0030.csv,In-situ Meas Data/Layer Camera/A0030.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.076991,-2.008095,31.000000,31,31,0,145.912283,0.812256,234.886105,91.010112,50.810000,3413347.000000,12,886.000000,1672.147190,0.981941,187.716704,234.000000,793.227991,1.221015,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.607915,27.629713,61.717102,22.543232,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0031,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0031.csv,In-situ Meas Data/Layer Camera/A0031.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.457391,-1.575474,32.000000,32,32,0,139.378627,0.785714,234.891182,91.010000,50.810000,2956554.000000,2,544.000000,1203.306233,0.536765,100.477941,195.000000,788.970588,1.550547,145493.000000,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,25.658796,27.741296,62.143113,22.553088,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0032,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0032.csv,In-situ Meas Data/Layer Camera/A0032.bmp,Build Command Data/AM Gcode/2_cube_Island/2_cube_Island.gcode,2_cube_Island
-0.671592,-1.306191,33.000000,33,33,0,143.458921,0.805178,234.964370,91.010000,50.810000,3148837.000000,12,1101.000000,2458.981604,0.985468,189.827430,234.000000,794.732062,1.271358,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.473254,27.227603,61.812084,22.662080,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0033,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0033.csv,In-situ Meas Data/Layer Camera/A0033.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.018594,-3.516975,34.000000,34,34,0,144.218030,0.811392,234.995900,91.010000,50.810000,3412663.000000,10,1070.000000,2154.697515,0.985047,189.625234,234.000000,794.392523,1.201240,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.648360,27.688120,62.405530,22.760896,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0034,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0034.csv,In-situ Meas Data/Layer Camera/A0034.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.125958,-1.862873,35.000000,35,35,0,145.269619,0.810755,234.920264,91.010000,50.810000,3374829.000000,12,824.000000,1650.494676,0.980583,187.378641,234.000000,792.961165,1.279005,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.540776,27.676083,61.992063,22.643456,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0035,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0035.csv,In-situ Meas Data/Layer Camera/A0035.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.396830,-1.390614,36.000000,36,36,0,139.792604,0.782967,234.937992,91.010000,50.810000,2906332.000000,2,540.000000,1199.967599,0.535185,100.314815,195.000000,789.259259,1.548851,145493.000000,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,25.422129,27.220789,61.919611,22.574592,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0036,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0036.csv,In-situ Meas Data/Layer Camera/A0036.bmp,Build Command Data/AM Gcode/2_cube_Island/2_cube_Island.gcode,2_cube_Island
-0.536595,-1.446707,37.000000,37,37,0,144.712989,0.808155,234.907513,91.010000,50.810000,3133502.000000,12,1170.000000,2469.613230,0.986325,190.017949,234.000000,794.871795,1.204483,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.409465,27.451430,61.975422,22.719104,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0037,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0037.csv,In-situ Meas Data/Layer Camera/A0037.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-1.953228,-3.851007,38.000000,38,38,0,144.845065,0.807432,234.957294,91.010000,50.810000,3406707.000000,10,999.000000,2075.236798,0.983984,188.674675,234.000000,794.194194,1.270497,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,25.398949,27.258371,61.518689,22.674432,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0038,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0038.csv,In-situ Meas Data/Layer Camera/A0038.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.111885,-1.676864,39.000000,39,39,0,145.803309,0.806654,234.852739,91.010000,50.810000,3279244.000000,12,821.000000,1629.736462,0.980512,187.588307,234.000000,792.935445,1.278686,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,30.654906,26.098665,80.165131,23.567168,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0039,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0039.csv,In-situ Meas Data/Layer Camera/A0039.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
