feature,source,mechanism_role,expression,profiles,min,max,std
phase125_metal_fraction,phase125,cation_fraction_proxy,alkali + alkaline_earth + transition + post_transition + rare_earth fractions,ionicity_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000001,0.278954924
phase125_nonmetal_fraction,phase125,anion_fraction_proxy,sum nonmetal element fractions,covalency_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.300308762
phase125_oxide_ionic_proxy,phase125,oxide_ionic_proxy,oxygen_fraction * (alkali_fraction + alkaline_earth_fraction),ionicity_proxy,0.000000000,0.250000000,0.033530330
phase125_p_block_fraction,phase125,orbital_family_proxy,sum p-block element fractions,covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000001,0.283817465
phase125_pblock_anion_interaction,phase125,pblock_anion_proxy,p_block_fraction * anion_fraction,covalency_proxy,0.000000000,1.000000001,0.258441937
phase125_pnictogen_metalloid_interaction,phase125,pnictide_covalency_proxy,pnictogen_fraction * metalloid_fraction,covalency_proxy,0.000000000,1.000000000,0.066296116
phase125_pnictogen_transition_interaction,phase125,transition_pnictide_proxy,pnictogen_fraction * transition_metal_fraction,anion_cation_interaction,0.000000000,0.250000000,0.043444205
phase125_post_transition_chalcogen,phase125,post_transition_chalcogenide_proxy,post_transition_fraction * chalcogen_fraction,heavy_element_proxy;mechanism_full_low_capacity,0.000000000,0.250000000,0.060284381
phase125_rare_earth_halogen_interaction,phase125,rare_earth_halide_proxy,rare_earth_fraction * halogen_fraction,anion_cation_interaction,0.000000000,0.250000000,0.011745785
phase125_spin_orbit_proxy,phase125,spin_orbit_heavy_element_proxy,sum(frac_element * (Z / 92)^2),heavy_element_proxy;mechanism_compact;mechanism_full_low_capacity,0.001860822,0.893667297,0.150050606
phase125_transition_chalcogen,phase125,transition_chalcogenide_proxy,transition_metal_fraction * chalcogen_fraction,heavy_element_proxy,0.000000000,0.250000000,0.071021619
pnictogen_fraction,phase123,phase123_chemistry_descriptor,pnictogen_fraction,descriptor_linear;covalency_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.158886449
post_transition_fraction,phase123,phase123_chemistry_descriptor,post_transition_fraction,descriptor_linear;covalency_proxy;heavy_element_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.185870026
rare_earth_fraction,phase123,phase123_chemistry_descriptor,rare_earth_fraction,descriptor_linear;heavy_element_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.154967317
transition_metal_fraction,phase123,phase123_chemistry_descriptor,transition_metal_fraction,descriptor_linear;ionicity_proxy;heavy_element_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.261401842
