x,y,t,source_layer_index,target_layer_index,melt_pool_frame_count,sampled_frame_count,first_sampled_frame_index,last_sampled_frame_index,source_p_mean,source_p_nonzero_fraction,source_x_range,source_y_range,source_p_range,source_t_range,source_rows_read,target_mp_mean_mean,target_mp_mean_std,target_mp_q90_mean,target_mp_max_mean,target_mp_max_range,target_mp_temporal_mean_range,target_mp_early_late_mean_delta,target_mp_peak_frame_position,split_name,row_id,target_group_key
-0.014843,-1.971289,27.000000,27,26,2970,9,1,2970,145.787106,0.812318,91.010000,50.810998,234.954665,2.000000,3463620.000000,9.000637,2.949114,10.111111,200.555556,245.000000,7.717513,6.880664,0.750000,test,melt_pool_layer::0026,In-situ Meas Data/Melt Pool Camera/MIA_L0026/frame{index}.bmp
-2.180132,-1.515748,28.000000,28,27,6313,9,1,6313,140.260776,0.784289,91.010000,50.810000,234.870391,2.000000,2939846.000000,11.539569,3.245426,13.333333,227.777778,245.000000,11.981055,7.693490,0.375000,train,melt_pool_layer::0027,In-situ Meas Data/Melt Pool Camera/MIA_L0027/frame{index}.bmp
-0.611335,-1.245454,29.000000,29,28,2917,9,1,2917,143.837653,0.803207,91.010000,50.810000,234.897695,2.000000,3086693.000000,7.603971,3.223867,8.666667,154.222222,245.000000,8.420964,8.420964,1.000000,train,melt_pool_layer::0028,In-situ Meas Data/Melt Pool Camera/MIA_L0028/frame{index}.bmp
-2.190415,-3.526528,30.000000,30,29,4336,9,1,4336,144.349046,0.807793,91.010000,50.810000,264.333171,2.000000,3362404.000000,9.945443,2.463021,10.444444,227.777778,245.000000,8.773047,7.713672,0.875000,train,melt_pool_layer::0029,In-situ Meas Data/Melt Pool Camera/MIA_L0029/frame{index}.bmp
-0.076991,-2.008095,31.000000,31,30,6660,9,1,6660,145.912283,0.812256,91.010112,50.810000,234.886105,2.000000,3413347.000000,9.974132,2.519548,10.666667,227.777778,245.000000,8.993620,6.813477,0.875000,val,melt_pool_layer::0030,In-situ Meas Data/Melt Pool Camera/MIA_L0030/frame{index}.bmp
-2.457391,-1.575474,32.000000,32,31,3834,9,1,3834,139.378627,0.785714,91.010000,50.810000,234.891182,2.000000,2956554.000000,10.551852,4.082256,14.111111,202.222222,245.000000,13.712435,10.729622,0.875000,test,melt_pool_layer::0031,In-situ Meas Data/Melt Pool Camera/MIA_L0031/frame{index}.bmp
-0.671592,-1.306191,33.000000,33,32,3770,9,1,3770,143.458921,0.805178,91.010000,50.810000,234.964370,2.000000,3148837.000000,9.817166,3.331548,11.000000,201.777778,245.000000,10.132161,5.380339,0.750000,train,melt_pool_layer::0032,In-situ Meas Data/Melt Pool Camera/MIA_L0032/frame{index}.bmp
-2.018594,-3.516975,34.000000,34,33,5289,9,1,5289,144.218030,0.811392,91.010000,50.810000,234.995900,2.000000,3412663.000000,10.400340,3.058173,11.777778,227.777778,245.000000,11.751693,6.987240,0.500000,train,melt_pool_layer::0033,In-situ Meas Data/Melt Pool Camera/MIA_L0033/frame{index}.bmp
-0.125958,-1.862873,35.000000,35,34,2889,9,1,2889,145.269619,0.810755,91.010000,50.810000,234.920264,2.000000,3374829.000000,10.558637,2.947722,11.333333,227.777778,245.000000,11.198958,6.990690,0.500000,train,melt_pool_layer::0034,In-situ Meas Data/Melt Pool Camera/MIA_L0034/frame{index}.bmp
-2.396830,-1.390614,36.000000,36,35,3472,9,1,3472,139.792604,0.782967,91.010000,50.810000,234.937992,2.000000,2906332.000000,10.052742,2.849105,10.888889,227.666667,246.000000,10.868945,6.820768,0.625000,val,melt_pool_layer::0035,In-situ Meas Data/Melt Pool Camera/MIA_L0035/frame{index}.bmp
-0.536595,-1.446707,37.000000,37,36,4818,9,1,4818,144.712989,0.808155,91.010000,50.810000,234.907513,2.000000,3133502.000000,10.277937,2.839129,10.888889,227.666667,246.000000,10.856641,7.728906,0.625000,test,melt_pool_layer::0036,In-situ Meas Data/Melt Pool Camera/MIA_L0036/frame{index}.bmp
-1.953228,-3.851007,38.000000,38,37,2670,9,1,2670,144.845065,0.807432,91.010000,50.810000,234.957294,2.000000,3406707.000000,9.679673,2.495109,10.888889,227.777778,245.000000,9.354492,9.354492,1.000000,train,melt_pool_layer::0037,In-situ Meas Data/Melt Pool Camera/MIA_L0037/frame{index}.bmp
-0.111885,-1.676864,39.000000,39,38,2963,9,1,2963,145.803309,0.806654,91.010000,50.810000,234.852739,2.000000,3279244.000000,8.823821,3.672210,10.333333,175.888889,245.000000,9.515820,9.016276,0.750000,train,melt_pool_layer::0038,In-situ Meas Data/Melt Pool Camera/MIA_L0038/frame{index}.bmp
-2.353547,-1.223546,40.000000,40,39,5880,9,1,5880,139.372635,0.786642,91.010000,50.810000,234.863608,2.000000,2917824.000000,10.826280,3.052342,12.555556,227.777778,245.000000,10.962305,10.008073,0.500000,train,melt_pool_layer::0039,In-situ Meas Data/Melt Pool Camera/MIA_L0039/frame{index}.bmp
-0.440344,-1.565441,41.000000,41,40,2925,9,1,2925,145.114406,0.810358,91.010000,50.810000,234.854428,2.000000,3164082.000000,6.740263,3.112520,8.333333,143.666667,245.000000,8.894076,6.452409,0.875000,val,melt_pool_layer::0040,In-situ Meas Data/Melt Pool Camera/MIA_L0040/frame{index}.bmp
-2.113702,-3.777225,42.000000,42,41,4482,9,1,4482,144.796953,0.809691,91.010000,50.810000,234.885869,2.000000,3415210.000000,9.787543,2.557926,10.333333,227.777778,245.000000,9.065625,8.501888,0.125000,test,melt_pool_layer::0041,In-situ Meas Data/Melt Pool Camera/MIA_L0041/frame{index}.bmp
-0.330481,-1.625305,43.000000,43,42,6878,9,1,6878,144.602580,0.809672,91.010000,50.810000,234.893679,2.000000,3283469.000000,9.666992,2.507205,10.666667,227.777778,245.000000,9.440755,6.612891,0.625000,train,melt_pool_layer::0042,In-situ Meas Data/Melt Pool Camera/MIA_L0042/frame{index}.bmp
-2.353194,-1.296922,44.000000,44,43,3798,9,1,3798,138.881424,0.783851,91.010000,50.810009,234.910066,2.000000,2914732.000000,10.625788,3.376760,12.777778,222.444444,246.000000,12.861263,9.624740,0.875000,train,melt_pool_layer::0043,In-situ Meas Data/Melt Pool Camera/MIA_L0043/frame{index}.bmp
-0.164062,-1.703205,45.000000,45,44,3757,9,1,3757,146.542351,0.813919,91.010000,50.810000,234.900266,2.000000,3161393.000000,9.108681,2.834031,10.777778,192.222222,245.000000,8.714518,6.154557,0.500000,train,melt_pool_layer::0044,In-situ Meas Data/Melt Pool Camera/MIA_L0044/frame{index}.bmp
-2.169347,-3.639341,46.000000,46,45,5575,9,1,5575,145.023131,0.808749,91.010000,50.810000,304.077330,2.000000,3425359.000000,11.143207,3.456828,12.444444,227.777778,245.000000,12.495638,7.571159,0.250000,val,melt_pool_layer::0045,In-situ Meas Data/Melt Pool Camera/MIA_L0045/frame{index}.bmp
-0.345934,-1.736964,47.000000,47,46,2900,9,1,2900,143.939842,0.810534,91.010000,50.810000,234.917413,2.000000,3273018.000000,9.675600,2.546512,10.666667,227.666667,246.000000,8.895898,6.737630,0.500000,test,melt_pool_layer::0046,In-situ Meas Data/Melt Pool Camera/MIA_L0046/frame{index}.bmp
-2.596843,-1.152713,48.000000,48,47,3430,9,1,3430,138.087391,0.786037,91.010000,50.810000,234.965609,2.000000,2930018.000000,8.970761,2.032971,9.666667,227.777778,245.000000,7.079036,6.233203,0.625000,train,melt_pool_layer::0047,In-situ Meas Data/Melt Pool Camera/MIA_L0047/frame{index}.bmp
-0.136776,-1.772198,49.000000,49,48,4650,9,1,4650,146.821433,0.811914,91.010000,50.810000,234.903680,2.000000,3194243.000000,10.681207,3.227998,12.888889,227.777778,245.000000,12.436849,8.148177,0.375000,train,melt_pool_layer::0048,In-situ Meas Data/Melt Pool Camera/MIA_L0048/frame{index}.bmp
-2.067222,-3.590560,50.000000,50,49,2651,9,1,2651,144.464767,0.811010,91.010997,50.810000,234.885139,2.000000,3446435.000000,8.744604,2.601108,9.777778,206.555556,245.000000,7.283659,6.662305,0.625000,train,melt_pool_layer::0049,In-situ Meas Data/Melt Pool Camera/MIA_L0049/frame{index}.bmp
-0.537092,-1.425133,51.000000,51,50,2979,9,1,2979,144.241097,0.804821,91.010997,50.810000,234.919915,2.000000,3192944.000000,7.578291,2.974529,8.777778,155.000000,245.000000,7.426042,7.141667,0.750000,val,melt_pool_layer::0050,In-situ Meas Data/Melt Pool Camera/MIA_L0050/frame{index}.bmp
-2.567032,-1.183005,52.000000,52,51,5492,9,1,5492,138.568894,0.786633,91.010000,50.810000,234.905485,2.000000,2934395.000000,11.132907,2.917181,12.888889,227.777778,245.000000,10.394922,9.028320,0.250000,test,melt_pool_layer::0051,In-situ Meas Data/Melt Pool Camera/MIA_L0051/frame{index}.bmp
-0.037943,-1.893601,53.000000,53,52,2928,9,1,2928,147.221135,0.812725,91.010000,50.810000,234.852945,2.000000,3237328.000000,8.083927,2.795358,9.444444,175.111111,245.000000,7.327083,6.327995,0.750000,train,melt_pool_layer::0052,In-situ Meas Data/Melt Pool Camera/MIA_L0052/frame{index}.bmp
-1.923158,-3.667425,54.000000,54,53,3754,9,1,3754,144.871006,0.804871,91.010000,50.810000,234.906645,2.000000,3383077.000000,11.474660,3.337384,13.555556,227.777778,245.000000,12.843750,7.990430,0.875000,train,melt_pool_layer::0053,In-situ Meas Data/Melt Pool Camera/MIA_L0053/frame{index}.bmp
-0.731160,-1.156051,55.000000,55,54,6801,9,1,6801,142.711328,0.803094,91.010000,50.810000,234.918001,2.000000,3201905.000000,9.644618,2.338044,11.000000,227.777778,245.000000,8.291016,6.668555,0.250000,train,melt_pool_layer::0054,In-situ Meas Data/Melt Pool Camera/MIA_L0054/frame{index}.bmp
-2.317048,-1.310144,56.000000,56,55,3798,9,1,3798,139.966823,0.787012,91.010000,50.810000,234.860202,2.000000,2913440.000000,10.568157,4.045236,14.777778,202.888889,246.000000,13.593359,9.485677,0.875000,val,melt_pool_layer::0055,In-situ Meas Data/Melt Pool Camera/MIA_L0055/frame{index}.bmp
-0.205736,-1.875114,57.000000,57,56,3744,9,1,3744,146.111058,0.812951,91.010000,50.810036,234.875145,2.000000,3323498.000000,10.209889,2.670034,11.666667,227.777778,245.000000,9.574023,6.421680,0.625000,test,melt_pool_layer::0056,In-situ Meas Data/Melt Pool Camera/MIA_L0056/frame{index}.bmp
-2.027792,-3.802426,58.000000,58,57,5970,9,1,5970,143.825367,0.808473,91.010000,50.810000,235.026259,2.000000,3426603.000000,9.284346,2.276089,9.777778,227.777778,245.000000,8.210286,7.491211,0.375000,train,melt_pool_layer::0057,In-situ Meas Data/Melt Pool Camera/MIA_L0057/frame{index}.bmp
-0.777442,-1.123449,59.000000,59,58,2858,9,1,2858,142.507448,0.800512,91.010000,50.810000,234.929196,2.000000,3155674.000000,9.743063,2.403014,10.333333,227.777778,245.000000,8.283333,7.155078,0.500000,train,melt_pool_layer::0058,In-situ Meas Data/Melt Pool Camera/MIA_L0058/frame{index}.bmp
-2.276205,-1.496130,60.000000,60,59,3454,9,1,3454,139.838002,0.787063,91.010000,50.810000,234.925219,2.000000,2933834.000000,9.593432,2.378471,10.222222,227.777778,245.000000,8.500065,8.098503,0.250000,train,melt_pool_layer::0059,In-situ Meas Data/Melt Pool Camera/MIA_L0059/frame{index}.bmp
-0.040257,-2.003624,61.000000,61,60,4893,9,1,4893,146.631334,0.814653,91.010000,50.810013,234.891452,2.000000,3368986.000000,10.410901,2.757385,11.333333,227.777778,245.000000,9.952865,9.641471,0.875000,val,melt_pool_layer::0060,In-situ Meas Data/Melt Pool Camera/MIA_L0060/frame{index}.bmp
-1.979565,-3.493515,62.000000,62,61,2678,9,1,2678,144.141978,0.804004,91.010000,50.810000,409.831913,2.000000,3375376.000000,9.282653,2.206588,10.444444,227.777778,245.000000,8.024154,7.357552,0.625000,test,melt_pool_layer::0061,In-situ Meas Data/Melt Pool Camera/MIA_L0061/frame{index}.bmp
-0.736946,-1.219649,63.000000,63,62,2967,9,1,2967,142.485041,0.797849,91.010000,50.810000,234.928208,2.000000,3129790.000000,7.899190,2.926760,8.888889,185.444444,245.000000,8.002734,8.002734,1.000000,train,melt_pool_layer::0062,In-situ Meas Data/Melt Pool Camera/MIA_L0062/frame{index}.bmp
-2.265941,-1.621930,64.000000,64,63,5221,9,1,5221,140.456919,0.787569,91.010000,50.810000,234.923018,2.000000,2936745.000000,10.009295,2.403750,10.888889,227.777778,245.000000,8.459635,7.920443,0.125000,train,melt_pool_layer::0063,In-situ Meas Data/Melt Pool Camera/MIA_L0063/frame{index}.bmp
0.094117,-2.067908,65.000000,65,64,2923,9,1,2923,147.001955,0.813940,91.010000,50.810997,234.962656,2.000000,3420494.000000,7.195522,3.213387,8.666667,157.666667,245.000000,9.116146,7.298372,0.750000,train,melt_pool_layer::0064,In-situ Meas Data/Melt Pool Camera/MIA_L0064/frame{index}.bmp
