x,y,t,target_intensity_mean,target_intensity_std,target_intensity_min,target_intensity_max,target_intensity_q90,source_layer_index,target_layer_index,target_camera_code,source_x_mean,source_y_mean,source_p_mean,source_t_mean,source_x_range,source_y_range,source_p_range,source_t_range,source_p_nonzero_fraction,source_rows_read,source_rows_truncated,target_pixel_count,target_width,target_height,target_bits_per_pixel,split_name,row_id,source_member_name,target_member_name,target_center_mean,target_periphery_mean,target_center_periphery_contrast,target_hot_fraction_q90,target_top_half_mean,target_bottom_half_mean,target_left_half_mean,target_right_half_mean,target_vertical_contrast,target_horizontal_contrast,target_quadrant_contrast,target_grid_max_mean,target_grid_min_mean,target_grid_mean_range,target_local_variance_mean,target_gradient_mean,target_gradient_q90,target_sample_stride,target_sampled_width,target_sampled_height,target_sampled_pixel_count,target_intensity_q90_recomputed,target_camera_pair_mean_delta,target_camera_pair_std_delta,target_camera_pair_gradient_delta
-2.002843,-3.187421,18,105.124356,25.905703,11,255,133.000000,18,18,0,-2.002843,-3.187421,143.328731,0.003840,91.010000,50.810000,234.911150,2.000000,0.810026,3280613,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0018,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0018.csv,In-situ Meas Data/Layer Camera/A0018.bmp,130.454523,102.675210,27.779312,0.100880,116.286048,103.177152,104.977088,114.486112,13.108896,-9.509024,22.617920,138.815668,76.461342,62.354327,24.695916,7.212791,12.529964,8,250,250,62500,138.000000,0.438083,-3.430793,-2.237652
-0.059763,-2.113796,19,105.046952,25.877775,13,255,133.000000,19,19,0,-0.059763,-2.113796,146.325978,0.002206,91.010997,50.810000,234.870248,2.000000,0.813861,3511957,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0019,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0019.csv,In-situ Meas Data/Layer Camera/A0019.bmp,130.302154,102.587637,27.714517,0.116736,116.258752,102.996384,104.942368,114.312768,13.262368,-9.370400,22.632768,138.651818,76.368408,62.283410,23.879074,7.148318,12.206556,8,250,250,62500,137.000000,-0.770345,-3.482783,-2.402700
-2.185806,-1.824914,20,105.012953,25.843409,13,255,133.000000,20,20,0,-2.185806,-1.824914,141.260841,0.002523,91.010000,50.810000,234.926647,2.000000,0.787883,2979100,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0020,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0020.csv,In-situ Meas Data/Layer Camera/A0020.bmp,130.262787,102.518746,27.744041,0.115184,116.081568,103.050784,104.848896,114.283456,13.030784,-9.434560,22.465344,138.552227,76.233743,62.318484,25.824542,7.212890,12.369317,8,250,250,62500,137.000000,1.514613,-3.396086,-2.216365
-0.732495,-1.007835,21,105.007317,25.855587,13,255,133.000000,21,21,0,-0.732495,-1.007835,143.002888,0.003265,91.010000,50.810000,234.911297,2.000000,0.796312,3037312,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0021,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0021.csv,In-situ Meas Data/Layer Camera/A0021.bmp,130.471403,102.478530,27.992873,0.114768,116.122080,103.056256,104.934784,114.243552,13.065824,-9.308768,22.374592,138.570661,76.332309,62.238351,25.416847,7.185722,12.369317,8,250,250,62500,137.000000,-3.861552,-5.204728,-2.214609
-1.987130,-3.440800,22,104.927411,25.816335,14,255,133.000000,22,22,0,-1.987130,-3.440800,143.515479,0.001726,91.010000,50.811000,235.013885,2.000000,0.807174,3317759,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0022,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0022.csv,In-situ Meas Data/Layer Camera/A0022.bmp,130.194444,102.435698,27.758746,0.112192,115.973024,103.000704,104.798912,114.174816,12.972320,-9.375904,22.348224,138.023810,76.235023,61.788786,26.139617,7.280103,12.649111,8,250,250,62500,137.000000,0.849395,-3.454838,-2.080213
0.088920,-2.063300,23,104.934054,25.820737,14,255,133.000000,23,23,0,0.088920,-2.063300,146.605257,0.002023,91.009997,50.810000,234.873835,2.000000,0.812021,3468238,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0023,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0023.csv,In-situ Meas Data/Layer Camera/A0023.bmp,130.296044,102.449833,27.846212,0.113952,116.110368,102.936064,104.819488,114.226944,13.174304,-9.407456,22.581760,138.264465,76.210189,62.054275,26.090762,7.158056,12.206556,8,250,250,62500,137.000000,0.422273,-3.238888,-2.281851
-2.146240,-1.646944,24,104.844150,25.858219,15,255,133.000000,24,24,0,-2.146240,-1.646944,140.530359,0.003424,91.010000,50.810000,266.152309,2.000000,0.787370,2959661,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0024,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0024.csv,In-situ Meas Data/Layer Camera/A0024.bmp,130.115772,102.340683,27.775089,0.112944,116.037568,102.754432,104.613248,114.178752,13.283136,-9.565504,22.848640,138.485919,76.141833,62.344086,25.663454,7.241262,12.529964,8,250,250,62500,137.000000,1.201373,-3.394547,-2.132248
-0.844969,-1.110167,25,105.004637,25.855339,16,255,133.000000,25,25,0,-0.844969,-1.110167,142.439497,0.001711,91.010000,50.810000,234.886219,2.000000,0.800091,3090958,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0025,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0025.csv,In-situ Meas Data/Layer Camera/A0025.bmp,130.301020,102.481190,27.819830,0.113120,116.077824,103.017920,104.737312,114.358432,13.059904,-9.621120,22.681024,138.437276,76.197389,62.239887,26.996063,7.200930,12.206556,8,250,250,62500,137.000000,2.097317,-3.575150,-1.951936
-2.107901,-3.628218,26,104.842316,25.748725,15,255,133.000000,26,26,0,-2.107901,-3.628218,143.162496,0.001748,91.010000,50.810000,234.899937,2.000000,0.811995,3398615,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0026,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0026.csv,In-situ Meas Data/Layer Camera/A0026.bmp,130.065256,102.366271,27.698985,0.108784,115.924416,102.880096,104.698720,114.105792,13.044320,-9.407072,22.451392,138.377880,76.440092,61.937788,23.613228,7.127244,12.206556,8,250,250,62500,137.000000,2.091207,-3.075650,-2.143024
-0.014843,-1.971289,27,104.806080,25.704534,15,255,133.000000,27,27,0,-0.014843,-1.971289,145.787106,0.003645,91.010000,50.810998,234.954665,2.000000,0.812318,3463620,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0027,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0027.csv,In-situ Meas Data/Layer Camera/A0027.bmp,130.020219,102.349284,27.670936,0.109744,115.917920,102.838368,104.515296,114.240992,13.079552,-9.725696,22.805248,137.907578,76.122376,61.785202,24.149822,7.183013,12.369317,8,250,250,62500,137.000000,0.161061,-3.287876,-2.340101
-2.180132,-1.515748,28,104.728901,25.774037,17,255,133.000000,28,28,0,-2.180132,-1.515748,140.260776,0.001984,91.010000,50.810000,234.870391,2.000000,0.784289,2939846,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0028,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0028.csv,In-situ Meas Data/Layer Camera/A0028.bmp,130.019085,102.210299,27.808786,0.107584,115.805824,102.742528,104.472896,114.075456,13.063296,-9.602560,22.665856,138.229647,75.894777,62.334869,25.942003,7.199038,12.206556,8,250,250,62500,137.000000,1.434429,-3.370950,-2.156030
-0.611335,-1.245454,29,104.894373,25.808875,16,255,133.000000,29,29,0,-0.611335,-1.245454,143.837653,0.002809,91.010000,50.810000,234.897695,2.000000,0.803207,3086693,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0029,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0029.csv,In-situ Meas Data/Layer Camera/A0029.bmp,130.341333,102.323417,28.017916,0.111488,116.069696,102.811136,104.656576,114.224256,13.258560,-9.567680,22.826240,138.519457,75.921659,62.597798,26.415625,7.141707,12.206556,8,250,250,62500,137.000000,-1.391723,-4.435891,-2.079432
-2.190415,-3.526528,30,104.665076,25.743747,18,255,132.000000,30,30,0,-2.190415,-3.526528,144.349046,0.003961,91.010000,50.810000,264.333171,2.000000,0.807793,3362404,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0030,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0030.csv,In-situ Meas Data/Layer Camera/A0030.bmp,129.971340,102.169677,27.801664,0.105712,115.791296,102.672192,104.398784,114.064704,13.119104,-9.665920,22.785024,138.356631,75.975934,62.380696,28.337598,7.211658,12.206556,8,250,250,62500,137.000000,1.599143,-3.280980,-2.152655
-0.076991,-2.008095,31,104.575598,25.607915,18,255,132.000000,31,31,0,-0.076991,-2.008095,145.912283,0.002246,91.010112,50.810000,234.886105,2.000000,0.812256,3413347,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0031,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0031.csv,In-situ Meas Data/Layer Camera/A0031.bmp,129.697468,102.067755,27.629713,0.102096,115.656960,102.515328,104.385344,113.786944,13.141632,-9.401600,22.543232,137.806452,76.089350,61.717102,24.384006,7.145794,12.369317,8,250,250,62500,137.000000,-0.890653,-3.598760,-2.334805
-2.457391,-1.575474,32,104.674072,25.658796,17,255,132.000000,32,32,0,-2.457391,-1.575474,139.378627,0.002550,91.010000,50.810000,234.891182,2.000000,0.785714,2956554,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0032,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0032.csv,In-situ Meas Data/Layer Camera/A0032.bmp,129.909171,102.167875,27.741296,0.103728,115.806656,102.622560,104.530112,113.899104,13.184096,-9.368992,22.553088,138.037122,75.894009,62.143113,27.321837,7.188047,12.206556,8,250,250,62500,137.000000,1.951058,-3.251525,-2.200490
-0.671592,-1.306191,33,104.520218,25.473254,19,255,132.000000,33,33,0,-0.671592,-1.306191,143.458921,0.003359,91.010000,50.810000,234.964370,2.000000,0.805178,3148837,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0033,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0033.csv,In-situ Meas Data/Layer Camera/A0033.bmp,129.353804,102.126201,27.227603,0.117840,115.572064,102.512832,104.241024,113.843872,13.059232,-9.602848,22.662080,137.772657,75.960573,61.812084,25.723661,7.153633,12.206556,8,250,250,62500,136.000000,1.904006,-3.845959,-1.983246
-2.018594,-3.516975,34,104.777614,25.648360,18,255,133.000000,34,34,0,-2.018594,-3.516975,144.218030,0.001693,91.010000,50.810000,234.995900,2.000000,0.811392,3412663,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0034,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0034.csv,In-situ Meas Data/Layer Camera/A0034.bmp,130.054863,102.366742,27.688120,0.108128,115.956544,102.843392,104.576096,114.223840,13.113152,-9.647744,22.760896,138.475166,76.069636,62.405530,26.874979,7.191843,12.206556,8,250,250,62500,137.000000,1.684807,-3.124328,-2.299695
-0.125958,-1.862873,35,104.574641,25.540776,19,255,132.000000,35,35,0,-0.125958,-1.862873,145.269619,0.002058,91.010000,50.810000,234.920264,2.000000,0.810755,3374829,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0035,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0035.csv,In-situ Meas Data/Layer Camera/A0035.bmp,129.766251,102.090168,27.676083,0.100080,115.649600,102.591072,104.327872,113.912800,13.058528,-9.584928,22.643456,137.849206,75.857143,61.992063,23.708817,7.146985,12.206556,8,250,250,62500,137.000000,1.033321,-3.266014,-2.134411
-2.396830,-1.390614,36,104.557550,25.422129,18,255,132.000000,36,36,0,-2.396830,-1.390614,139.792604,0.003316,91.010000,50.810000,234.937992,2.000000,0.782967,2906332,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0036,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0036.csv,In-situ Meas Data/Layer Camera/A0036.bmp,129.402305,102.181516,27.220789,0.118624,115.608320,102.583744,104.321024,113.871040,13.024576,-9.550016,22.574592,137.709165,75.789555,61.919611,25.092308,7.112476,12.206556,8,250,250,62500,136.000000,1.561287,-3.496416,-2.161702
-0.536595,-1.446707,37,104.571144,25.409465,20,255,132.000000,37,37,0,-0.536595,-1.446707,144.712989,0.001704,91.010000,50.810000,234.907513,2.000000,0.808155,3133502,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0037,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0037.csv,In-situ Meas Data/Layer Camera/A0037.bmp,129.581192,102.129761,27.451430,0.117936,115.760320,102.445408,104.400768,113.804960,13.314912,-9.404192,22.719104,137.950333,75.974910,61.975422,25.268907,7.121613,12.206556,8,250,250,62500,136.000000,-3.147077,-4.813793,-2.109929
-1.953228,-3.851007,38,104.468112,25.398949,20,255,132.000000,38,38,0,-1.953228,-3.851007,144.845065,0.001740,91.010000,50.810000,234.957294,2.000000,0.807432,3406707,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0038,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0038.csv,In-situ Meas Data/Layer Camera/A0038.bmp,129.342341,102.083970,27.258371,0.116864,115.553760,102.462304,104.216544,113.799520,13.091456,-9.582976,22.674432,137.562212,76.043523,61.518689,24.979212,7.107231,12.206556,8,250,250,62500,136.000000,1.631834,-3.294670,-2.294054
-0.111885,-1.676864,39,108.286333,30.654906,20,255,137.000000,39,39,0,-0.111885,-1.676864,145.803309,0.003586,91.010000,50.810000,234.852739,2.000000,0.806654,3279244,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0039,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0039.csv,In-situ Meas Data/Layer Camera/A0039.bmp,132.310595,106.211929,26.098665,0.108736,116.669056,109.013760,104.885472,120.797344,7.655296,-15.911872,23.567168,156.536866,76.371736,80.165131,31.247866,7.553465,13.000000,8,250,250,62500,141.000000,38.009763,2.828583,-0.736729
-2.353547,-1.223546,40,104.506467,25.387655,20,255,132.000000,40,40,0,-2.353547,-1.223546,139.372635,0.002005,91.010000,50.810000,234.863608,2.000000,0.786642,2917824,false,4000000,2000,2000,8,val,In-situ Meas Data/Layer Camera/A{index}.bmp::0040,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0040.csv,In-situ Meas Data/Layer Camera/A0040.bmp,129.431091,102.111423,27.319668,0.118016,115.736288,102.365824,104.283136,113.818976,13.370464,-9.535840,22.906304,137.805684,75.746544,62.059140,26.369084,7.171629,12.206556,8,250,250,62500,136.000000,1.162761,-3.681098,-2.230895
-0.440344,-1.565441,41,105.086347,25.423295,21,255,132.000000,41,41,0,-0.440344,-1.565441,145.114406,0.002833,91.010000,50.810000,234.854428,2.000000,0.810358,3164082,false,4000000,2000,2000,8,val,In-situ Meas Data/Layer Camera/A{index}.bmp::0041,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0041.csv,In-situ Meas Data/Layer Camera/A0041.bmp,130.148652,102.692026,27.456626,0.104480,116.365184,102.967712,105.187136,114.145760,13.397472,-8.958624,22.356096,137.984383,76.417563,61.566820,23.985713,7.072604,12.206556,8,250,250,62500,137.000000,3.070232,-3.342560,-1.964875
-2.113702,-3.777225,42,105.324052,25.353205,21,255,133.000000,42,42,0,-2.113702,-3.777225,144.796953,0.004028,91.010000,50.810000,234.885869,2.000000,0.809691,3415210,false,4000000,2000,2000,8,val,In-situ Meas Data/Layer Camera/A{index}.bmp::0042,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0042.csv,In-situ Meas Data/Layer Camera/A0042.bmp,130.224994,103.006477,27.218516,0.109424,116.708096,103.132736,105.482272,114.358560,13.575360,-8.876288,22.451648,138.093446,76.416539,61.676907,23.697835,7.105189,12.206556,8,250,250,62500,137.000000,1.831381,-3.136617,-2.214288
