row_id,source_layer_index,split_name,source_file_name,source_group_key,source_member_name,target_file_name,target_group_key,target_member_name,target_type,target_layer_index,join_offset,source_coverage,target_coverage,target_width,target_height,target_bits_per_pixel,target_channels
In-situ Meas Data/Layer Camera/A{index}.bmp::0012,12,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0012.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0012.bmp,layer_camera,12,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0013,13,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0013.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0013.bmp,layer_camera,13,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0014,14,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0014.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0014.bmp,layer_camera,14,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0015,15,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0015.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0015.bmp,layer_camera,15,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0016,16,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0016.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0016.bmp,layer_camera,16,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0017,17,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0017.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0017.bmp,layer_camera,17,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0018,18,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0018.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0018.bmp,layer_camera,18,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0019,19,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0019.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0019.bmp,layer_camera,19,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0020,20,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0020.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0020.bmp,layer_camera,20,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0021,21,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0021.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0021.bmp,layer_camera,21,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0022,22,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0022.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0022.bmp,layer_camera,22,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0023,23,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0023.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0023.bmp,layer_camera,23,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0024,24,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0024.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0024.bmp,layer_camera,24,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0025,25,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0025.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0025.bmp,layer_camera,25,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0026,26,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0026.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0026.bmp,layer_camera,26,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0027,27,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0027.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0027.bmp,layer_camera,27,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0028,28,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0028.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0028.bmp,layer_camera,28,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0029,29,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0029.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0029.bmp,layer_camera,29,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0030,30,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0030.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0030.bmp,layer_camera,30,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0031,31,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0031.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0031.bmp,layer_camera,31,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0032,32,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0032.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0032.bmp,layer_camera,32,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0033,33,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0033.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0033.bmp,layer_camera,33,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0034,34,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0034.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0034.bmp,layer_camera,34,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0035,35,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0035.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0035.bmp,layer_camera,35,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0036,36,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0036.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0036.bmp,layer_camera,36,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0037,37,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0037.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0037.bmp,layer_camera,37,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0038,38,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0038.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0038.bmp,layer_camera,38,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0039,39,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0039.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0039.bmp,layer_camera,39,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0040,40,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0040.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0040.bmp,layer_camera,40,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0041,41,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0041.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0041.bmp,layer_camera,41,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0042,42,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0042.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0042.bmp,layer_camera,42,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0043,43,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0043.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0043.bmp,layer_camera,43,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0044,44,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0044.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0044.bmp,layer_camera,44,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0045,45,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0045.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0045.bmp,layer_camera,45,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0046,46,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0046.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0046.bmp,layer_camera,46,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0047,47,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0047.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0047.bmp,layer_camera,47,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0048,48,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0048.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0048.bmp,layer_camera,48,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0049,49,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0049.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0049.bmp,layer_camera,49,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0050,50,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0050.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0050.bmp,layer_camera,50,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0051,51,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0051.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0051.bmp,layer_camera,51,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0052,52,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0052.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0052.bmp,layer_camera,52,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0053,53,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0053.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0053.bmp,layer_camera,53,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0054,54,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0054.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0054.bmp,layer_camera,54,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0055,55,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0055.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0055.bmp,layer_camera,55,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0056,56,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0056.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0056.bmp,layer_camera,56,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0057,57,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0057.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0057.bmp,layer_camera,57,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0058,58,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0058.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0058.bmp,layer_camera,58,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0059,59,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0059.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0059.bmp,layer_camera,59,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0060,60,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0060.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0060.bmp,layer_camera,60,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0061,61,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0061.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0061.bmp,layer_camera,61,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0062,62,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0062.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0062.bmp,layer_camera,62,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0063,63,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0063.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0063.bmp,layer_camera,63,0,0.987952,1.000000,2000,2000,8,1
