case_id,split,center_shift,source_width,closure_coeff,source_amplitude,ambient,sensor_count,noise_std
P169-CASE-056,train,0.026,0.074,-0.115,0.8345918503,0.1704506006,108,0.018
P169-CASE-057,test,0.026,0.074,-0.045,0.8482098315,0.1723800342,108,0.018
P169-CASE-058,train,0.026,0.074,0.035,0.8646675339,0.1738159149,108,0.018
P169-CASE-059,train,0.026,0.074,0.105,0.8824948397,0.1747009987,108,0.018
P169-CASE-060,train,0.026,0.096,-0.115,0.8213481929,0.1565919686,108,0.018
P169-CASE-061,train,0.026,0.096,-0.045,0.8277054537,0.1595620072,108,0.018
P169-CASE-062,val,0.026,0.096,0.035,0.8387340304,0.1625495071,108,0.018
P169-CASE-063,train,0.026,0.096,0.105,0.8534487734,0.1654353663,108,0.018
P169-CASE-064,train,0.052,0.036,-0.115,0.8345918503,0.1595620072,108,0.018
P169-CASE-065,train,0.052,0.036,-0.045,0.8482098315,0.1565919686,108,0.018
P169-CASE-066,val,0.052,0.036,0.035,0.8646675339,0.1537577975,108,0.018
P169-CASE-067,train,0.052,0.036,0.105,0.8824948397,0.1511724832,108,0.018
P169-CASE-068,val,0.052,0.054,-0.115,0.8213481929,0.1723800342,108,0.018
P169-CASE-069,train,0.052,0.054,-0.045,0.8277054537,0.1704506006,108,0.018
P169-CASE-070,test,0.052,0.054,0.035,0.8387340304,0.1681045346,108,0.018
P169-CASE-071,train,0.052,0.054,0.105,0.8534487734,0.1654353663,108,0.018
P169-CASE-072,test,0.052,0.074,-0.115,0.8224645435,0.1738159149,108,0.018
P169-CASE-073,train,0.052,0.074,-0.045,0.8200046045,0.1747009987,108,0.018
P169-CASE-074,train,0.052,0.074,0.035,0.8229038756,0.175,108,0.018
P169-CASE-075,val,0.052,0.074,0.105,0.8309033733,0.1747009987,108,0.018
P169-CASE-076,train,0.052,0.096,-0.115,0.8376675805,0.1625495071,108,0.018
P169-CASE-077,val,0.052,0.096,-0.045,0.8269927207,0.1654353663,108,0.018
P169-CASE-078,train,0.052,0.096,0.035,0.8210528432,0.1681045346,108,0.018
P169-CASE-079,test,0.052,0.096,0.105,0.8203785398,0.1704506006,108,0.018
