feature,source,mechanism_role,expression,profiles,min,max,std
phase157_light_dopant_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_light_dopant_fraction,composition_complexity_linear,0,120,5.66706378233
phase157_oxide_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_oxide_fraction,composition_complexity_linear;cuprate_oxide_proxy;mechanism_compact,0,66,3.81164871548
phase157_y_bi_tl_hg_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_y_bi_tl_hg_fraction,cuprate_oxide_proxy,0,14,0.794861235826
wtd_entropy_fie,uci_feature,low_capacity_superconductivity_proxy,wtd_entropy_fie,weighted_property_linear;mechanism_full_low_capacity,0,2.038560253,0.334017560916
wtd_mean_Density,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_Density,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,1.429,22590,3221.31450579
wtd_mean_ElectronAffinity,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_ElectronAffinity,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,1.5,326.1,32.2763870117
wtd_mean_FusionHeat,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_FusionHeat,weighted_property_linear,0.222,105,14.2793354733
wtd_mean_ThermalConductivity,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_ThermalConductivity,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,0.02658,406.96,45.5192559675
wtd_mean_Valence,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_Valence,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,1,7,1.1912486826
wtd_mean_atomic_mass,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_atomic_mass,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,6.423452,208.9804,33.4904062203
wtd_mean_atomic_radius,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_atomic_radius,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,48,298,28.8015673992
wtd_mean_fie,uci_feature,low_capacity_superconductivity_proxy,wtd_mean_fie,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,375.5,1348.02898551,143.278200241
wtd_std_Density,uci_feature,low_capacity_superconductivity_proxy,wtd_std_Density,weighted_property_linear;mechanism_full_low_capacity,0,10410.9320049,1611.79962949
wtd_std_ElectronAffinity,uci_feature,low_capacity_superconductivity_proxy,wtd_std_ElectronAffinity,weighted_property_linear;mechanism_full_low_capacity,0,169.075861753,20.42929319
wtd_std_FusionHeat,uci_feature,low_capacity_superconductivity_proxy,wtd_std_FusionHeat,weighted_property_linear,0,51.6804823184,7.28823897315
wtd_std_ThermalConductivity,uci_feature,low_capacity_superconductivity_proxy,wtd_std_ThermalConductivity,weighted_property_linear;mechanism_full_low_capacity,0,213.300451957,63.710354938
wtd_std_Valence,uci_feature,low_capacity_superconductivity_proxy,wtd_std_Valence,weighted_property_linear;mechanism_full_low_capacity,0,3,0.45558032781
wtd_std_atomic_mass,uci_feature,low_capacity_superconductivity_proxy,wtd_std_atomic_mass,weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,0,101.0197,19.9835442949
wtd_std_atomic_radius,uci_feature,low_capacity_superconductivity_proxy,wtd_std_atomic_radius,weighted_property_linear;mechanism_full_low_capacity,0,97.14071087,25.2945240421
